20230526-194522,74
20230526-194522,73
20230526-194522,74
20230526-194522,76
20230526-194522,76
20230526-194522,77
20230526-194522,78
20230526-194522,78
20230526-194523,79
20230526-194523,79
20230526-194523,80
20230526-194523,80
20230526-194523,81
20230526-194523,81
20230526-194523,81
20230526-194523,82
20230526-194523,82
20230526-194523,82
20230526-194524,82
20230526-194524,82
20230526-194524,81
20230526-194524,81
20230526-194524,81
20230526-194524,81
20230526-194524,81
20230526-194524,81
20230526-194524,81
20230526-194524,81
20230526-194525,80
20230526-194525,81
20230526-194525,80
20230526-194525,81
20230526-194525,81
20230526-194525,81
20230526-194525,81
20230526-194525,81
20230526-194525,80
20230526-194526,80
20230526-194526,80
20230526-194526,80
20230526-194526,80
20230526-194526,81
20230526-194526,81
20230526-194526,80
20230526-194526,81
20230526-194526,82
20230526-194526,82
20230526-194526,82
20230526-194527,82
20230526-194527,82
20230526-194527,82
20230526-194527,82
20230526-194527,82
20230526-194527,82
20230526-194527,81
20230526-194527,82
20230526-194527,81
20230526-194528,81
20230526-194528,81
20230526-194528,82
20230526-194528,82
20230526-194528,82
20230526-194528,82
20230526-194528,82
20230526-194528,82
20230526-194528,83
20230526-194528,83
20230526-194529,82
20230526-194529,82
20230526-194529,84
20230526-194529,84
20230526-194529,84
20230526-194529,84
20230526-194529,84
20230526-194529,84
20230526-194529,84
20230526-194529,83
20230526-194530,84
20230526-194530,84
20230526-194530,84
20230526-194530,84
20230526-194530,84
20230526-194530,84
20230526-194530,84
20230526-194530,85
20230526-194530,85
20230526-194530,85
20230526-194531,85
20230526-194531,85
20230526-194531,85
20230526-194531,85
20230526-194531,85
20230526-194531,85
20230526-194531,85
20230526-194531,85
20230526-194531,85
20230526-194531,84
20230526-194532,85
20230526-194532,85
20230526-194532,86
20230526-194532,86
20230526-194532,86
20230526-194532,86
20230526-194532,86
20230526-194532,86
20230526-194532,87
20230526-194532,85
20230526-194533,85
20230526-194533,86
20230526-194533,87
20230526-194533,87
20230526-194533,87
20230526-194533,87
20230526-194533,87
20230526-194533,86
20230526-194533,85
20230526-194534,85
20230526-194534,85
20230526-194534,86
20230526-194534,86
20230526-194534,86
20230526-194534,86
20230526-194534,86
20230526-194534,86
20230526-194534,86
20230526-194534,86
20230526-194535,85
20230526-194535,85
20230526-194535,85
20230526-194535,85
20230526-194535,85
20230526-194535,86
20230526-194535,86
20230526-194535,85
20230526-194535,85
20230526-194535,85
20230526-194536,85
20230526-194536,85
20230526-194536,85
20230526-194536,85
20230526-194536,85
20230526-194536,85
20230526-194536,86
20230526-194536,86
20230526-194536,86
20230526-194536,86
20230526-194537,85
20230526-194537,85
20230526-194537,85
20230526-194537,86
20230526-194537,86
20230526-194537,86
20230526-194537,86
20230526-194537,86
20230526-194537,86
20230526-194537,86
20230526-194537,86
20230526-194538,86
20230526-194538,86
20230526-194538,86
20230526-194538,86
20230526-194538,86
20230526-194538,85
20230526-194538,85
20230526-194538,85
20230526-194538,86
20230526-194539,86
20230526-194539,86
20230526-194539,86
20230526-194539,85
20230526-194539,85
20230526-194539,85
20230526-194539,85
20230526-194539,84
20230526-194539,82
20230526-194539,82
20230526-194540,80
20230526-194540,80
20230526-194540,81
20230526-194540,81
20230526-194540,81
20230526-194540,81
20230526-194540,80
20230526-194540,79
20230526-194540,78
20230526-194540,75
20230526-194541,70
20230526-194541,70
20230526-194541,68
20230526-194541,65
20230526-194541,61
20230526-194541,60
20230526-194541,55
20230526-194541,50
20230526-194541,42
20230526-194541,36
20230526-194542,29
20230526-194542,26
20230526-194542,24
20230526-194542,23
20230526-194542,25
20230526-194542,23
20230526-194542,17
20230526-194542,12
20230526-194542,0
20230526-194543,0
20230526-194543,0
20230526-194543,11
20230526-194543,13
20230526-194543,16
20230526-194543,16
20230526-194543,25
20230526-194543,27
20230526-194543,16
20230526-194543,0
20230526-194543,0
20230526-194544,0
20230526-194544,0
